,Year,Month,Date,Inflation rate
0,2001,1,2001-01-01,39.9
1,2001,2,2001-02-01,40
2,2001,3,2001-03-01,40.3
3,2001,4,2001-04-01,37.5
4,2001,5,2001-05-01,37.4
5,2001,6,2001-06-01,35.7
6,2001,7,2001-07-01,31.8
7,2001,8,2001-08-01,32.4
8,2001,9,2001-09-01,31.2
9,2001,10,2001-10-01,30.8
10,2001,11,2001-11-01,30.7
11,2001,12,2001-12-01,30.3
12,2002,1,2002-01-01,28.6
13,2002,2,2002-02-01,27.2
14,2002,3,2002-03-01,25.1
15,2002,4,2002-04-01,24.4
16,2002,5,2002-05-01,24.5
17,2002,6,2002-06-01,24
18,2002,7,2002-07-01,23
19,2002,8,2002-08-01,21.3
20,2002,9,2002-09-01,19.8
21,2002,10,2002-10-01,18.8
22,2002,11,2002-11-01,18.6
23,2002,12,2002-12-01,17.8
24,2003,1,2003-01-01,16.6
25,2003,2,2003-02-01,16.3
26,2003,3,2003-03-01,17.1
27,2003,4,2003-04-01,16
28,2003,5,2003-05-01,14.4
29,2003,6,2003-06-01,14
30,2003,7,2003-07-01,14.8
31,2003,8,2003-08-01,14.2
32,2003,9,2003-09-01,15.9
33,2003,10,2003-10-01,15.8
34,2003,11,2003-11-01,14.5
35,2003,12,2003-12-01,14.1
36,2004,1,2004-01-01,13.9
37,2004,2,2004-02-01,13.7
38,2004,3,2004-03-01,13.1
39,2004,4,2004-04-01,12.5
40,2004,5,2004-05-01,12.3
41,2004,6,2004-06-01,12
42,2004,7,2004-07-01,12.1
43,2004,8,2004-08-01,12.4
44,2004,9,2004-09-01,11.1
45,2004,10,2004-10-01,10.8
46,2004,11,2004-11-01,9.9
47,2004,12,2004-12-01,9.3
48,2005,1,2005-01-01,8.9
49,2005,2,2005-02-01,8.9
50,2005,3,2005-03-01,8.7
51,2005,4,2005-04-01,10
52,2005,5,2005-05-01,10
53,2005,6,2005-06-01,9.7
54,2005,7,2005-07-01,9.3
55,2005,8,2005-08-01,8.9
56,2005,9,2005-09-01,8.5
57,2005,10,2005-10-01,8.1
58,2005,11,2005-11-01,8.7
59,2005,12,2005-12-01,8.6
60,2006,1,2006-01-01,8.9
61,2006,2,2006-02-01,8.5
62,2006,3,2006-03-01,8.4
63,2006,4,2006-04-01,6.9
64,2006,5,2006-05-01,7.3
65,2006,6,2006-06-01,7.1
66,2006,7,2006-07-01,6.2
67,2006,8,2006-08-01,6
68,2006,9,2006-09-01,5.5
69,2006,10,2006-10-01,4.8
70,2006,11,2006-11-01,4.7
71,2006,12,2006-12-01,4.9
72,2007,1,2007-01-01,4
73,2007,2,2007-02-01,3.8
74,2007,3,2007-03-01,3.7
75,2007,4,2007-04-01,3.8
76,2007,5,2007-05-01,3.8
77,2007,6,2007-06-01,3.8
78,2007,7,2007-07-01,4
79,2007,8,2007-08-01,5
80,2007,9,2007-09-01,6
81,2007,10,2007-10-01,6.8
82,2007,11,2007-11-01,6.7
83,2007,12,2007-12-01,6.6
84,2008,1,2008-01-01,7.3
85,2008,2,2008-02-01,8
86,2008,3,2008-03-01,8.6
87,2008,4,2008-04-01,8.6
88,2008,5,2008-05-01,8.5
89,2008,6,2008-06-01,8.6
90,2008,7,2008-07-01,9
91,2008,8,2008-08-01,8
92,2008,9,2008-09-01,7.3
93,2008,10,2008-10-01,7.4
94,2008,11,2008-11-01,6.7
95,2008,12,2008-12-01,6.3
96,2009,1,2009-01-01,6.7
97,2009,2,2009-02-01,6.9
98,2009,3,2009-03-01,6.7
99,2009,4,2009-04-01,6.5
100,2009,5,2009-05-01,6
101,2009,6,2009-06-01,5.9
102,2009,7,2009-07-01,5.1
103,2009,8,2009-08-01,5
104,2009,9,2009-09-01,4.9
105,2009,10,2009-10-01,4.3
