,Date,BET index
0,2024-05-22,"17.494,47"
1,2024-05-23,"17.435,31"
2,2024-05-24,"17.680,50"
3,2024-05-25,"17.780,92"
4,2024-05-26,"17.933,12"
5,2024-05-27,"17.764,07"
6,2024-05-28,"17.562,27"
7,2024-05-29,"17.588,48"
8,2024-05-30,"17.588,19"
9,2024-05-31,"17.699,42"
10,2024-06-01,"17.891,78"
11,2024-06-02,"18.174,01"
12,2024-06-03,"18.076,69"
13,2024-06-04,"17.872,46"
14,2024-06-05,"17.725,07"
15,2024-06-06,"17.788,71"
16,2024-06-07,"17.861,11"
17,2024-06-08,"17.703,59"
18,2024-06-09,"17.879,99"
19,2024-06-10,"18.020,52"
20,2024-06-11,"17.945,67"
21,2024-06-12,"18.042,59"
